total_time,tokens,predictions,top_k,dataset,model,faithfulness
24.39682102203369,37624.5,719.5,2,abt_buy,frequent,0.02
12.17016077041626,58331.0,1112.0,2,abt_buy,union,0.02
23.880749940872192,96112.5,1834.5,2,abt_buy,intersection,0.03
146.17508912086487,157639.0,3020.5,2,walmart_amazon,frequent,0.01
42.34269595146179,176916.0,3392.5,2,walmart_amazon,union,0.04
267.93223690986633,293534.0,5637.5,2,walmart_amazon,intersection,0.02
485.8077709674835,146015.3,2838.5,3,abt_buy,frequent,0.02
204.30067825317383,276576.9,5378.1,3,abt_buy,union,0.03
166.48620200157166,406449.8,7903.6,3,abt_buy,intersection,0.02
646.0462410449982,593392.4,11509.3,3,beers,frequent,0.01
187.84137177467343,714658.0,13850.1,3,beers,union,0.03
253.6850361824036,918755.5,17763.6,3,beers,intersection,0.02
310.0271260738373,1066571.5,20658.2,3,amazon_google,frequent,0.03
93.6886932849884,1165313.4,22591.7,3,amazon_google,union,0.03
120.6496331691742,1296750.0,25165.2,3,amazon_google,intersection,0.04
789.4816851615906,1731562.1,33670.2,3,fodo_zaga,frequent,0
367.4516379833221,2130214.9,41467.3,3,fodo_zaga,union,0
387.0813162326813,2627197.2,51187.1,3,fodo_zaga,intersection,0
1115.203803062439,2813222.4,54797.4,3,walmart_amazon,frequent,0.01
397.3824172019959,2935209.1,57156.9,3,walmart_amazon,union,0.02
914.5620470046996,3224293.4,62754.4,3,walmart_amazon,intersection,0.02
97.95749402046204,78225.1,1519.9,5,abt_buy,frequent,0.01
113.5782299041748,166205.9,3229.9,5,abt_buy,union,0.02
91.92658400535583,244554.7,4752.8,5,abt_buy,intersection,0.03
158.48166298866272,365906.0,7095.5,5,beers,frequent,0.01
132.2473180294037,471631.1,9132.8,5,beers,union,0.01
261.14698600769043,592734.3,11456.8,5,beers,intersection,0.02
252.88479709625244,675031.8,13068.2,5,amazon_google,frequent,0.02
2254.8949551582336,757365.9,14680.5,5,amazon_google,union,0.03
1378.6911318302157,839622.2,16291.4,5,amazon_google,intersection,0.04
1803.606593132019,1180454.7,22956.4,5,fodo_zaga,frequent,0
871.8476719856262,1496708.6,29138.2,5,fodo_zaga,union,0
1843.4027540683744,1878079.2,36596.8,5,fodo_zaga,intersection,0
650.43590092659,2034479.8,39627.5,5,walmart_amazon,frequent,0.02
387.07149386405945,2164972.9,42142.7,5,walmart_amazon,union,0.01
735.5143661499023,2416702.6,47018.7,5,walmart_amazon,intersection,0.03
